headline_x,storyId,timestamp,body
WORLD BANK'S BANGA: SHOULD EXPAND DEBTOR REPORTING SYSTEM TO ALL G20 COUNTRIES,urn:newsml:reuters.com:20251017:nS0N3EX04L:3,2025-10-17 13:58:50+00:00,"WASHINGTON, Oct 17 (Reuters) - World Bank President Ajay
Banga on Friday stressed the need to increase transparency in
debt restructuring processes to give greater clarity to all
parties involved, including by expanding the debtor reporting
system to all Group of 20 major economies.
    Banga said the World Bank was working very closely with the
International Monetary Fund and others to accelerate debt
restructuring under the G20 Common Framework for Debt
Treatments, while advancing domestic revenue reforms, expanding
financing and supporting liability management.

 (Reporting by Andrea Shalal; Editing by Andrea Ricci)
 ((andrea.shalal@tr.com; +1 202-815-7432;))"
WORLD BANK PRESIDENT BANGA: SAYS MUST INCREASE TRANSPARENCY OF DEBT RESTRUCTURING PROCESS TO GIVE ALL PARTIES GREATER CLARITY,urn:newsml:reuters.com:20251017:nS0N3EX04L:1,2025-10-17 13:58:50+00:00,"WASHINGTON, Oct 17 (Reuters) - World Bank President Ajay
Banga on Friday stressed the need to increase transparency in
debt restructuring processes to give greater clarity to all
parties involved, including by expanding the debtor reporting
system to all Group of 20 major economies.
    Banga said the World Bank was working very closely with the
International Monetary Fund and others to accelerate debt
restructuring under the G20 Common Framework for Debt
Treatments, while advancing domestic revenue reforms, expanding
financing and supporting liability management.

 (Reporting by Andrea Shalal; Editing by Andrea Ricci)
 ((andrea.shalal@tr.com; +1 202-815-7432;))"
WORLD BANK PRESIDENT BANGA: SAYS MUST INCREASE TRANSPARENCY OF DEBT RESTRUCTURING PROCESS TO GIVE ALL PARTIES GREATER CLARITY,urn:newsml:reuters.com:20251017:nS0N3EX04L:1,2025-10-17 13:58:50+00:00,"WASHINGTON, Oct 17 (Reuters) - World Bank President Ajay
Banga on Friday stressed the need to increase transparency in
debt restructuring processes to give greater clarity to all
parties involved, including by expanding the debtor reporting
system to all Group of 20 major economies.
    Banga said the World Bank was working very closely with the
International Monetary Fund and others to accelerate debt
restructuring under the G20 Common Framework for Debt
Treatments, while advancing domestic revenue reforms, expanding
financing and supporting liability management.

 (Reporting by Andrea Shalal; Editing by Andrea Ricci)
 ((andrea.shalal@tr.com; +1 202-815-7432;))"
"BESSENT: BOTH IMF AND WORLD BANK NEED MORE BUDGET DISCIPLINE, SHOULD FREEZE SENIOR SALARIES",urn:newsml:reuters.com:20251017:nS0N3EX04K:37,2025-10-17 13:42:03+00:00,"WASHINGTON, Oct 17 (Reuters) - U.S. Treasury Secretary
Scott Bessent on Friday gave specific marching orders for the
International Monetary Fund and World Bank to take tougher
stances on China's state-driven economic practices as part of
his push to get the global lenders to refocus on their core
missions.
    In a statement to the IMF's steering committee, Bessent said
the crisis lender should strengthen its country surveillance
activities with ""objectivity and evenhandedness."" He also said
the World Bank should end its support for China and shift
resources to countries with greater needs.
    ""The IMF should not shy away from asking difficult
questions, more clearly highlighting internal and external
imbalances, deepening its understanding of how industrial
policies in large economies such as China contribute to those
imbalances, explaining their potential harmful spillovers, and
recommending appropriate corrective actions,"" Bessent said in
the statement to the International Monetary and Financial
Committee.

(Reporting by David Lawder; Editing by Paul Simao)
((mailto:David.Lawder@tr.com; +1 202 843 6288;))"
"BESSENT: THERE IS NO CONSENSUS FOR REALIGNING SHAREHOLDINGS AT THE WORLD BANK, 2025 REVIEW SHOULD CONCLUDE",urn:newsml:reuters.com:20251017:nS0N3EX04K:35,2025-10-17 13:42:03+00:00,"WASHINGTON, Oct 17 (Reuters) - U.S. Treasury Secretary
Scott Bessent on Friday gave specific marching orders for the
International Monetary Fund and World Bank to take tougher
stances on China's state-driven economic practices as part of
his push to get the global lenders to refocus on their core
missions.
    In a statement to the IMF's steering committee, Bessent said
the crisis lender should strengthen its country surveillance
activities with ""objectivity and evenhandedness."" He also said
the World Bank should end its support for China and shift
resources to countries with greater needs.
    ""The IMF should not shy away from asking difficult
questions, more clearly highlighting internal and external
imbalances, deepening its understanding of how industrial
policies in large economies such as China contribute to those
imbalances, explaining their potential harmful spillovers, and
recommending appropriate corrective actions,"" Bessent said in
the statement to the International Monetary and Financial
Committee.

(Reporting by David Lawder; Editing by Paul Simao)
((mailto:David.Lawder@tr.com; +1 202 843 6288;))"
BESSENT: FUTURE IMF GOVERNANCE DISCUSSIONS MUST BE UNDERPINNED BY A NEW QUOTA FORMULA,urn:newsml:reuters.com:20251017:nS0N3EX04K:33,2025-10-17 13:42:03+00:00,"WASHINGTON, Oct 17 (Reuters) - U.S. Treasury Secretary
Scott Bessent on Friday gave specific marching orders for the
International Monetary Fund and World Bank to take tougher
stances on China's state-driven economic practices as part of
his push to get the global lenders to refocus on their core
missions.
    In a statement to the IMF's steering committee, Bessent said
the crisis lender should strengthen its country surveillance
activities with ""objectivity and evenhandedness."" He also said
the World Bank should end its support for China and shift
resources to countries with greater needs.
    ""The IMF should not shy away from asking difficult
questions, more clearly highlighting internal and external
imbalances, deepening its understanding of how industrial
policies in large economies such as China contribute to those
imbalances, explaining their potential harmful spillovers, and
recommending appropriate corrective actions,"" Bessent said in
the statement to the International Monetary and Financial
Committee.

(Reporting by David Lawder; Editing by Paul Simao)
((mailto:David.Lawder@tr.com; +1 202 843 6288;))"
"BESSENT: U.S. BELIEVES IMF HAS THE RESOURCES IT NEEDS, REMAINS COMMITTED TO SECURING CONGRESSIONAL APPROVAL FOR 16TH QUOTA REVIEW",urn:newsml:reuters.com:20251017:nS0N3EX04K:31,2025-10-17 13:42:03+00:00,"WASHINGTON, Oct 17 (Reuters) - U.S. Treasury Secretary
Scott Bessent on Friday gave specific marching orders for the
International Monetary Fund and World Bank to take tougher
stances on China's state-driven economic practices as part of
his push to get the global lenders to refocus on their core
missions.
    In a statement to the IMF's steering committee, Bessent said
the crisis lender should strengthen its country surveillance
activities with ""objectivity and evenhandedness."" He also said
the World Bank should end its support for China and shift
resources to countries with greater needs.
    ""The IMF should not shy away from asking difficult
questions, more clearly highlighting internal and external
imbalances, deepening its understanding of how industrial
policies in large economies such as China contribute to those
imbalances, explaining their potential harmful spillovers, and
recommending appropriate corrective actions,"" Bessent said in
the statement to the International Monetary and Financial
Committee.

(Reporting by David Lawder; Editing by Paul Simao)
((mailto:David.Lawder@tr.com; +1 202 843 6288;))"
"BESSENT: WORLD BANK NEEDS MORE WORK TO IMPROVE PROCUREMENT, DIVERSIFY SUPPLIERS",urn:newsml:reuters.com:20251017:nS0N3EX04K:29,2025-10-17 13:42:03+00:00,"WASHINGTON, Oct 17 (Reuters) - U.S. Treasury Secretary
Scott Bessent on Friday gave specific marching orders for the
International Monetary Fund and World Bank to take tougher
stances on China's state-driven economic practices as part of
his push to get the global lenders to refocus on their core
missions.
    In a statement to the IMF's steering committee, Bessent said
the crisis lender should strengthen its country surveillance
activities with ""objectivity and evenhandedness."" He also said
the World Bank should end its support for China and shift
resources to countries with greater needs.
    ""The IMF should not shy away from asking difficult
questions, more clearly highlighting internal and external
imbalances, deepening its understanding of how industrial
policies in large economies such as China contribute to those
imbalances, explaining their potential harmful spillovers, and
recommending appropriate corrective actions,"" Bessent said in
the statement to the International Monetary and Financial
Committee.

(Reporting by David Lawder; Editing by Paul Simao)
((mailto:David.Lawder@tr.com; +1 202 843 6288;))"
BESSENT: WELCOME WORLD BANK'S STEPS TO DEVELOP CRITICAL MINERALS STRATEGY TO DIVERSIFY SUPPLY CHAINS,urn:newsml:reuters.com:20251017:nS0N3EX04K:27,2025-10-17 13:42:03+00:00,"WASHINGTON, Oct 17 (Reuters) - U.S. Treasury Secretary
Scott Bessent on Friday gave specific marching orders for the
International Monetary Fund and World Bank to take tougher
stances on China's state-driven economic practices as part of
his push to get the global lenders to refocus on their core
missions.
    In a statement to the IMF's steering committee, Bessent said
the crisis lender should strengthen its country surveillance
activities with ""objectivity and evenhandedness."" He also said
the World Bank should end its support for China and shift
resources to countries with greater needs.
    ""The IMF should not shy away from asking difficult
questions, more clearly highlighting internal and external
imbalances, deepening its understanding of how industrial
policies in large economies such as China contribute to those
imbalances, explaining their potential harmful spillovers, and
recommending appropriate corrective actions,"" Bessent said in
the statement to the International Monetary and Financial
Committee.

(Reporting by David Lawder; Editing by Paul Simao)
((mailto:David.Lawder@tr.com; +1 202 843 6288;))"
"BESSENT: WE URGE WORLD BANK TO FINANCE 'ALL AFFORDABLE AND RELIABLE ENERGY SOURCES', INCLUDING OIL, GAS AND COAL",urn:newsml:reuters.com:20251017:nS0N3EX04K:25,2025-10-17 13:42:03+00:00,"WASHINGTON, Oct 17 (Reuters) - U.S. Treasury Secretary
Scott Bessent on Friday gave specific marching orders for the
International Monetary Fund and World Bank to take tougher
stances on China's state-driven economic practices as part of
his push to get the global lenders to refocus on their core
missions.
    In a statement to the IMF's steering committee, Bessent said
the crisis lender should strengthen its country surveillance
activities with ""objectivity and evenhandedness."" He also said
the World Bank should end its support for China and shift
resources to countries with greater needs.
    ""The IMF should not shy away from asking difficult
questions, more clearly highlighting internal and external
imbalances, deepening its understanding of how industrial
policies in large economies such as China contribute to those
imbalances, explaining their potential harmful spillovers, and
recommending appropriate corrective actions,"" Bessent said in
the statement to the International Monetary and Financial
Committee.

(Reporting by David Lawder; Editing by Paul Simao)
((mailto:David.Lawder@tr.com; +1 202 843 6288;))"
